Old Name,New Name
EN-RT-60-EGYPT-MORSITRIAL-KHEIRA-210415.zip,EN-RT-EGYPT_MORSITRIALKHEIRA-210415.zip
EN-RT-60-EGYPT-PARISHILTON-SAKHR-300615.zip,EN-RT-EGYPT_PARISHILTONSAKHR-300615.zip
EN-RT-60-EGYPT-ZAMALEKRIOTS-TAREK-090215.zip,EN-RT-EGYPT_ZAMALEKRIOTSTAREK-090215.zip
EN-RT-60-ELECTIONS-CNNDEBATEVARSITY-160915.zip,EN-RT-ELECTIONSCNNDEBATEVARSITY-160915.zip
EN-RT-60-ELECTIONS-SCOTTWALKER-130715.zip,EN-RT-ELECTIONSSCOTTWALKER-130715.zip
EN-RT-60-ELECTIONS-TRUMPMUSLIMS-200815.zip,EN-RT-ELECTIONSTRUMPMUSLIMS-200815.zip
EN-RT-60-EU-MIGRANTBOAT-SAKHR-200415.zip,EN-RT-EUMIGRANTBOATSAKHR-200415.zip
EN-RT-60-EUROPE-SOLIDARITYREFUGEES-010915.zip,EN-RT-EUROPESOLIDARITYREFUGEES-010915.zip
EN-RT-60-EUROREFUGEES-GERMANYFOOTBALLKIDS-130915.zip,EN-RT-GERMANY_EUROREFUGEESFOOTBALLKIDS-130915.zip
EN-RT-60-FACEPALM-MURDOCHTWEET-TAREK-110115.zip,EN-RT-FACEPALMMURDOCHTWEETTAREK-110115.zip
EN-RT-60-FAUXNEWS-HOLYWAR-TAREK-180215.zip,EN-RT-FAUXNEWSHOLYWARTAREK-180215.zip
EN-RT-60-FAUXNEWS-OBAMACRUSADES-TAREK-080215.zip,EN-RT-FAUXNEWSOBAMACRUSADESTAREK-080215.zip
EN-RT-60-FERGUSON-SHOTSFIRED-100815.zip,EN-RT-FERGUSONSHOTSFIRED-100815.zip
EN-RT-60-FIFA-CANDIDATES-KHEIRA-030615.zip,EN-RT-FIFACANDIDATESKHEIRA-030615.zip
EN-RT-60-FRANCE-FEDERER-KHEIRA-250515.zip,EN-RT-FRANCE_FEDERERKHEIRA-250515.zip
EN-RT-60-FRANCE-KAPOOR-KHEIRA-070615.zip,EN-RT-FRANCE_KAPOORKHEIRA-070615.zip
EN-RT-60-FRANCE-MIGRANT-SAKHR-290715.zip,EN-RT-FRANCE_MIGRANTSAKHR-290715.zip
EN-RT-60-FRANCE-MIGRANTS-KHEIRA-140515.zip,EN-RT-FRANCE_MIGRANTSKHEIRA-140515.zip
EN-RT-60-FRANCE-MIGRANTS-SAKHR-240615.zip,EN-RT-FRANCE_MIGRANTSSAKHR-240615.zip
EN-RT-60-FRANCE-RACISTMAYOR-150915.zip,EN-RT-FRANCE_RACISTMAYOR-150915.zip
EN-RT-60-FRANCE-TRAINSHOOTING-230815.zip,EN-RT-FRANCE_TRAINSHOOTING-230815.zip
EN-RT-60-FRANCE-TVHACKED-KHEIRA-090415.zip,EN-RT-FRANCE_TVHACKEDKHEIRA-090415.zip
EN-RT-60-FRANCE-UBERPROTEST-TABISH-250615.zip,EN-RT-FRANCE_UBERPROTESTTABISH-250615.zip
EN-RT-60-FREEAJSTAFF-BAHERINTV-ZACH-170215.zip,EN-RT-FREEAJSTAFFBAHERINTVZACH-170215.zip
EN-RT-60-GAZA-DAILYLIFE-KHEIRA-230415.zip,EN-RT-GAZA_DAILYLIFEKHEIRA-230415.zip
EN-RT-60-GAZA-FATHERBROUGHTLION-HAMAMOU-250315.zip,EN-RT-GAZA_FATHERBROUGHTLIONHAMAMOU-250315.zip
EN-RT-60-GEORGIA-ZOOESCAPE-TABISH-150615.zip,EN-RT-GEORGIA_ZOOESCAPETABISH-150615.zip
EN-RT-60-GERMANY-REFUGEESCAMP-080915.zip,EN-RT-GERMANY_REFUGEESCAMP-080915.zip
EN-RT-60-GOLDENGLOBES-NEWSINVADESHOLLYWOOD-TAREK-120115.zip,EN-RT-GOLDENGLOBESNEWSINVADESHOLLYWOODTAREK-120115.zip
EN-RT-60-GREECE-DEBTDEAL-YOMNA-130715.zip,EN-RT-GREECE_DEBTDEALYOMNA-130715.zip
EN-RT-60-GREECE-REFUGEEPROTESTS-060915.zip,EN-RT-GREECE_REFUGEEPROTESTS-060915.zip
EN-RT-60-GREECE-THREATS-SAKHR-080715.zip,EN-RT-GREECE_THREATSSAKHR-080715.zip
EN-RT-60-GULF-SANDSTORM-SAKHR-020415.zip,EN-RT-GULFSANDSTORMSAKHR-020415.zip
EN-RT-60-HAITI-REDCROSS-TABISH-040615.zip,EN-RT-HAITI_REDCROSSTABISH-040615.zip
EN-RT-60-HOLYLAND-BREAKINGTHESILENCE-TAREK-050515.zip,EN-RT-HOLYLAND_BREAKINGTHESILENCETAREK-050515.zip
EN-RT-60-HOLYLAND-ICCPROBE-TAREK-180115.zip,EN-RT-HOLYLAND_ICCPROBETAREK-180115.zip
EN-RT-60-HONDURAS-PROTEST-TABISH-050715.zip,EN-RT-HONDURAS_PROTESTTABISH-050715.zip
EN-RT-60-HUNGARY-HENNA-240815.zip,EN-RT-HUNGARY_HENNA-240815.zip
EN-RT-60-HUNGARY-REFUGEETRAIN-030915.zip,EN-RT-HUNGARY_REFUGEETRAIN-030915.zip
EN-RT-60-INDIA-ACIDCAFE-090915.zip,EN-RT-INDIA_ACIDCAFE-090915.zip
EN-RT-60-INDIA-CLASHES-270815.zip,EN-RT-INDIA_CLASHES-270815.zip
